TimelineLabel,name,bins,countMutations
Nov-23,nt.geqpt1,Rest,0
Dec-23,aa.geq1,Rest,0
Dec-23,aa.geqpt01,Rest,0
Dec-23,aa.geqpt1,Rest,0
Dec-23,nt.geq1,Rest,0
Dec-23,nt.geqpt01,Rest,0
Dec-23,nt.geqpt1,Rest,0
Jan-24,aa.geq1,Rest,0
Jan-24,aa.geqpt01,Rest,1
Jan-24,aa.geqpt1,Rest,0
Jan-24,nt.geq1,Rest,0
Jan-24,nt.geqpt01,Rest,1
Jan-24,nt.geqpt1,Rest,0
Feb-24,aa.geq1,Rest,0
Feb-24,aa.geqpt01,Rest,0
Feb-24,aa.geqpt1,Rest,0
Feb-24,nt.geq1,Rest,0
Feb-24,nt.geqpt01,Rest,0
Feb-24,nt.geqpt1,Rest,0
Mar-24,aa.geq1,Rest,0
Mar-24,aa.geqpt01,Rest,0
Mar-24,aa.geqpt1,Rest,0
Mar-24,nt.geq1,Rest,0
Mar-24,nt.geqpt01,Rest,0
Mar-24,nt.geqpt1,Rest,0
Apr-24,aa.geq1,Rest,0
Apr-24,aa.geqpt01,Rest,0
Apr-24,aa.geqpt1,Rest,0
Apr-24,nt.geq1,Rest,0
Apr-24,nt.geqpt01,Rest,0
Apr-24,nt.geqpt1,Rest,0
May-24,aa.geq1,Rest,0
May-24,aa.geqpt01,Rest,0
May-24,aa.geqpt1,Rest,0
May-24,nt.geq1,Rest,0
May-24,nt.geqpt01,Rest,0
May-24,nt.geqpt1,Rest,0
Jun-24,aa.geq1,Rest,0
Jun-24,aa.geqpt01,Rest,0
Jun-24,aa.geqpt1,Rest,0
Jun-24,nt.geq1,Rest,0
Jun-24,nt.geqpt01,Rest,0
Jun-24,nt.geqpt1,Rest,0
Jul-24,aa.geq1,Rest,0
Jul-24,aa.geqpt01,Rest,0
Jul-24,aa.geqpt1,Rest,0
Jul-24,nt.geq1,Rest,0
Jul-24,nt.geqpt01,Rest,0
Jul-24,nt.geqpt1,Rest,0
Aug-24,aa.geq1,Rest,0
